ID;Aktywny (0/1);Nazwa;Kategoria nadrzędna;Główna kategoria (0/1);Opis;Meta-tytuł;Słowa kluczowe meta;Opis meta;URL przepisany;URL zdjęcia
3;1;Bieganie/fitness;;0;;;;;bieganie-fitness;
4;1;Piłka nożna;;0;;;;;pilka-nozna;
5;1;Sporty zimowe;;0;;;;;sporty-zimowe;
6;1;Rowery;;0;;;;;rowery;
7;1;Torby i plecaki;;0;;;;;torby-plecaki;
8;1;Tenis;;0;;;;;tenis;
9;1;Badminton;;0;;;;;badminton;
10;1;Koszykówka;;0;;;;;koszykowka;
11;1;Dart;;0;;;;;dart;
12;1;Odzież damska fitness;Bieganie/fitness;0;;;;;odziez-damska-fitness;
13;1;Odzież męska fitness;Bieganie/fitness;0;;;;;odziez-meska-fitness;
14;1;Buty do biegania damskie;Bieganie/fitness;0;;;;;buty-do-biegania-damskie;
15;1;Buty do biegania męskie;Bieganie/fitness;0;;;;;buty-do-biegania-meskie;
16;1;Odzież do biegania damska;Bieganie/fitness;0;;;;;odziez-do-biegania-damska;
17;1;Odzież do biegania męska;Bieganie/fitness;0;;;;;odziez-do-biegania-meska;
18;1;Piłki nożne;Piłka nożna;0;;;;;pilki-nozne;
19;1;Odzież piłkarska dla dorosłych;Piłka nożna;0;;;;;odziez-pilkarska-dorosli;
20;1;Odzież piłkarska dla dzieci;Piłka nożna;0;;;;;odziez-pilkarska-dzieci;
21;1;Buty piłkarskie;Piłka nożna;0;;;;;buty-pilkarskie;
22;1;Odzież narciarska;Sporty zimowe;0;;;;;odziez-narciarska;
23;1;Buty narciarskie;Sporty zimowe;0;;;;;buty-narciarskie;
24;1;Kaski narciarskie;Sporty zimowe;0;;;;;kaski-narciarskie;
25;1;Gogle narciarskie;Sporty zimowe;0;;;;;gogle-narciarskie;
26;1;Deski snowboardowe;Sporty zimowe;0;;;;;deski-snowboardowe;
27;1;Narty;Sporty zimowe;0;;;;;narty;
28;1;Odzież rowerowa damska;Rowery;0;;;;;odziez-rowerowa-damska;
29;1;Odzież rowerowa męska;Rowery;0;;;;;odziez-rowerowa-meska;
30;1;Rowery górskie;Rowery;0;;;;;rowery-gorskie;
31;1;Rowery miejskie;Rowery;0;;;;;rowery-miejskie;
32;1;Rowery szosowe;Rowery;0;;;;;rowery-szosowe;
33;1;Rowery dla dzieci;Rowery;0;;;;;rowery-dzieci;
34;1;Torby;Torby i plecaki;0;;;;;torby;
35;1;Plecaki;Torby i plecaki;0;;;;;plecaki;
36;1;Rakiety do tenisa;Tenis;0;;;;;rakiety-do-tenisa;
37;1;Piłki do tenisa;Tenis;0;;;;;pilki-do-tenisa;
38;1;Buty do tenisa;Tenis;0;;;;;buty-do-tenisa;
39;1;Rakiety do badmintona;Badminton;0;;;;;rakiety-do-badmintona;
40;1;Lotki do badmintona;Badminton;0;;;;;lotki-do-badmintona;
41;1;Buty do badmintona;Badminton;0;;;;;buty-do-badmintona;
42;1;Odzież do badmintona;Badminton;0;;;;;odziez-do-badmintona;
43;1;Piłki do koszykówki;Koszykówka;0;;;;;pilki-do-koszykowki;
44;1;Buty do koszykówki;Koszykówka;0;;;;;buty-do-koszykowki;
45;1;Odzież do koszykówki;Koszykówka;0;;;;;odziez-do-koszykowki;
46;1;Tarcze do darta;Dart;0;;;;;tarcze-do-darta;
47;1;Lotki do darta;Dart;0;;;;;lotki-do-darta;
48;1;Akcesoria do darta;Dart;0;;;;;akcesoria-do-darta;
